procedure_name,original_loc,converted_loc,aws_sct_warnings,frequency_score,impact_score,dependency_score,sla_score,criticality_score,code_complexity_score,warning_complexity_score,logic_complexity_score,ext_dep_score,complexity_score,priority_quadrant,sprint_assigned,status,owner,estimated_hours,actual_hours,notes
ReconcileMUpstream,124,186,4,4,4,3,3,3.5,2,3,4,2,2.75,P1,Sprint_2,CORRECTED,Pierre,8,5,Recursive query handling + temp tables | CORRECTED (Issue #27 - Quality 8.2/10 - REFERENCE)
AddArc,82,258,2,3,4,2,2,2.75,2,2,3,3,2.5,P1,Sprint_3,CORRECTED,Pierre,6,2,Multiple temp tables + delta calculation | CORRECTED (Issue #18 - Quality: 8.5/10, Perf: +90%)
GetMaterialByRunProperties,40,80,8,4,3,2,2,2.75,2,4,4,2,3.0,P1,Sprint_4,CORRECTED,Pierre,12,5.1,Very long procedure with complex logic | CORRECTED (Issue #21 - Quality 8.8/10 - 13 warnings resolved)
LinkUnlinkedMaterials,19,43,3,2,2,1,1,1.5,1,2,2,1,1.5,P3,Sprint_8,EXTRACTED,Pierre,4,0,Simple link operation | EXTRACTED + CONVERTED
MaterialToTransition,7,6,1,3,3,2,2,2.5,1,1,2,1,1.25,P2,Sprint_6,EXTRACTED,Pierre,5,0,Simple insert operation | EXTRACTED + CONVERTED
MoveContainer,48,127,3,2,2,1,1,1.5,2,2,2,2,2.0,P3,Sprint_8,EXTRACTED,Pierre,4,0,Container movement logic | EXTRACTED + CONVERTED
MoveGooType,47,125,3,2,2,1,1,1.5,2,2,2,2,2.0,P3,Sprint_8,EXTRACTED,Pierre,4,0,Type movement logic | EXTRACTED + CONVERTED
ProcessDirtyTrees,42,106,4,4,4,3,3,3.5,2,3,3,2,2.5,P1,Sprint_3,CORRECTED,Pierre,10,1.5,Coordinator pattern (NOT recursive) - WHILE loop | CORRECTED (Issue #20 - Quality: 8.5/10, 4 P0 blockers fixed)
ProcessSomeMUpstream,88,219,5,4,4,3,3,3.5,2,3,4,3,3.0,P1,Sprint_2,CORRECTED,Pierre,8,4.5,Similar to ReconcileMUpstream | CORRECTED (Issue #16 - Quality 8.0/10 - 70% pattern reuse)
RemoveArc,74,97,3,3,4,2,2,2.75,2,2,3,3,2.5,P1,Sprint_3,CORRECTED,Pierre,6,0.5,Simple DELETE operation (NOT inverse of AddArc) | CORRECTED (Issue #19 - Quality: 9.0/10, Perf: +50-100%)
TransitionToMaterial,7,6,1,3,3,2,2,2.5,1,1,2,1,1.25,P2,Sprint_5,CORRECTED,Pierre,5,1.5,Simple insert operation | CORRECTED (Issue #22 - Quality 9.5/10 - NEW RECORD - Zero P0/P1 issues)
sp_move_node,32,205,5,3,3,2,2,2.5,2,3,3,2,2.5,P2,Sprint_5,EXTRACTED,Pierre,6,0,Tree manipulation logic | EXTRACTED + CONVERTED
usp_UpdateContainerTypeFromArgus,11,21,2,2,2,1,1,1.5,1,2,2,1,1.5,P3,Sprint_7,EXTRACTED,Pierre,4,0,Simple update with OPENQUERY | EXTRACTED + CONVERTED
usp_UpdateMDownstream,30,68,3,4,4,3,3,3.5,2,2,3,2,2.25,P1,Sprint_2,CORRECTED,Pierre,8,5,Batch processing of downstream | CORRECTED (Issue #17 - Quality 8.5/10 - 2× ORPHANED COMMITS fixed)
usp_UpdateMUpstream,20,39,2,4,4,3,3,3.5,1,2,3,2,2.0,P1,Sprint_1,CORRECTED,Pierre,8,3.5,Critical batch processing | CORRECTED (Issue #15 - Quality 8.5/10)

# COLUMN DEFINITIONS
#
# procedure_name: Name of the stored procedure
# original_loc: Lines of code in T-SQL original (REAL DATA from extracted files)
# converted_loc: Lines of code in PL/pgSQL converted (REAL DATA from AWS SCT output)
# aws_sct_warnings: Number of warnings from AWS Schema Conversion Tool (ESTIMATED - needs validation during analysis)
#
# CRITICALITY SCORES (1-5):
# frequency_score: How often procedure runs (5=continuous, 4=multiple/day, 3=daily, 2=weekly, 1=monthly)
# impact_score: Business impact (5=blocks critical, 4=significant, 3=moderate, 2=nice-to-have, 1=optional)
# dependency_score: Number of callers (5=10+, 4=5-9, 3=2-4, 2=1, 1=none)
# sla_score: SLA requirement (5=<1sec, 4=<5sec, 3=<30sec, 2=<5min, 1=none)
# criticality_score: Average of above 4 scores
#
# COMPLEXITY SCORES (1-5):
# code_complexity_score: Lines of code (5=500+, 4=300-499, 3=150-299, 2=50-149, 1=<50)
# warning_complexity_score: AWS SCT warnings (5=15+, 4=10-14, 3=5-9, 2=2-4, 1=0-1)
# logic_complexity_score: Logic complexity (5=recursive+dynamic, 4=nested loops, 3=moderate, 2=simple, 1=CRUD)
# ext_dep_score: External dependencies (5=5+, 4=3-4, 3=2, 2=1, 1=none)
# complexity_score: Average of above 4 scores
#
# PRIORITY QUADRANTS:
# P0: High Criticality (4-5) + Low Complexity (1-2) = DO FIRST
# P1: High Criticality (4-5) + High Complexity (3-5) = PLAN CAREFULLY
# P2: Low Criticality (1-3) + Low Complexity (1-2) = FILLER WORK
# P3: Low Criticality (1-3) + High Complexity (3-5) = DEFER
#
# STATUS VALUES:
# EXTRACTED: Original T-SQL extracted from SQL Server + AWS SCT conversion done
# IN_PROGRESS: Currently being analyzed/corrected
# ANALYZED: Analysis complete, ready for correction
# CORRECTED: Correction complete, ready for testing
# TESTING: Testing phase
# DEV_DEPLOYED: Deployed to DEV environment
# STAGING_DEPLOYED: Deployed to STAGING
# PRODUCTION_DEPLOYED: In production
# COMPLETED: Fully done with retrospective
#
# SPRINT ASSIGNMENT:
# Sprint_0: Setup (CURRENT - 75% complete)
# Sprint_1-3: High priority procedures (P0, P1)
# Sprint_4-6: Medium priority (P2)
# Sprint_7-8: Low priority (P3)
# Sprint_9: Integration & STAGING
# Sprint_10: Production deployment
#
# NOTES:
# - LOC values updated 2025-11-13 based on REAL extracted files
# - AWS SCT warnings are ESTIMATED - will be validated during individual analysis
# - All 15 procedures have been extracted from SQL Server ✅
# - All 15 procedures have been converted by AWS SCT ✅
# - Sprint 2 procedures corrected: ReconcileMUpstream, ProcessSomeMUpstream, usp_UpdateMUpstream, usp_UpdateMDownstream ✅
# - Sprint 3 procedures corrected: AddArc, RemoveArc, ProcessDirtyTrees ✅
# - Sprint 4 procedure corrected: GetMaterialByRunProperties (Quality 8.8/10, 13 warnings resolved) ✅
